"","query","pre_id","weight","n","type","xyz"
"485","720575940643267950","720575940615349649",9,1,"DA1_vPN","(112703.5, 61456.035, 1682)"
"486","720575940643267950","720575940617413161",9,1,NA,NA
"487","720575940643267950","720575940617725302",9,1,NA,NA
"488","720575940643267950","720575940618133321",9,1,NA,NA
"489","720575940643267950","720575940618756760",9,1,NA,NA
"490","720575940643267950","720575940618759027",9,1,NA,NA
"491","720575940643267950","720575940619577840",9,1,"VM5d_adPN","(121000.175, 58851.91, 1375)"
"492","720575940643267950","720575940619747464",9,1,NA,NA
"493","720575940643267950","720575940620849348",9,1,"VL2a_adPN","(113975.97, 56674.32, 1467)"
"494","720575940643267950","720575940620928385",9,1,NA,NA
"495","720575940643267950","720575940632925373",9,1,NA,NA
"496","720575940643267950","720575940635829823",9,1,"LHCENT8#1","86932, 52380, 4225"
"497","720575940643267950","720575940644439331",9,1,"mALB1_L","101141, 38759, 3833"
"498","720575940611933905","720575940608511686",9,1,NA,NA
"499","720575940611933905","720575940609152966",9,1,NA,NA
"500","720575940611933905","720575940610247338",9,1,NA,NA
"501","720575940611933905","720575940612197374",9,1,NA,NA
"502","720575940611933905","720575940616587352",9,1,NA,NA
"503","720575940611933905","720575940616776862",9,1,NA,NA
"504","720575940611933905","720575940618076167",9,1,NA,NA
"505","720575940611933905","720575940619316367",9,1,NA,NA
"506","720575940611933905","720575940619586365",9,1,NA,NA
"507","720575940611933905","720575940619655060",9,1,NA,NA
"508","720575940611933905","720575940623796030",9,1,NA,NA
"509","720575940611933905","720575940625613895",9,1,NA,NA
"510","720575940611933905","720575940625792711",9,1,NA,NA
"511","720575940611933905","720575940628887879",9,1,NA,NA
"512","720575940611933905","720575940630297169",9,1,NA,NA
"513","720575940611933905","720575940633976481",9,1,NA,NA
"514","720575940611933905","720575940640806935",9,1,NA,NA
"515","720575940611933905","720575940650688897",9,1,NA,NA
"516","720575940643268206","720575940605698603",9,1,NA,NA
"517","720575940643268206","720575940614682153",9,1,NA,NA
"518","720575940643268206","720575940617259160",9,1,NA,NA
"519","720575940643268206","720575940617393961",9,1,NA,NA
"520","720575940643268206","720575940618032688",9,1,NA,NA
"521","720575940643268206","720575940621361927",9,1,"DC3_adPN","(116603.93, 58878.9325, 1192)"
"522","720575940643268206","720575940622340204",9,1,NA,NA
"523","720575940643268206","720575940627843795",9,1,"DL2v_adPN","(114596.905, 56543.63, 1563)"
"524","720575940643268206","720575940632901565",9,1,NA,NA
"525","720575940631539993","720575940590462643",9,1,NA,NA
"526","720575940631539993","720575940600724422",9,1,NA,NA
"527","720575940631539993","720575940607266246",9,1,NA,NA
"528","720575940631539993","720575940607293638",9,1,NA,NA
"529","720575940631539993","720575940615256249",9,1,NA,NA
"530","720575940631539993","720575940615767829",9,1,NA,NA
"531","720575940631539993","720575940616604037",9,1,NA,NA
"532","720575940631539993","720575940617316229",9,1,NA,NA
"533","720575940631539993","720575940618076167",9,1,NA,NA
"534","720575940631539993","720575940618425310",9,1,NA,NA
"535","720575940631539993","720575940619316367",9,1,NA,NA
"536","720575940631539993","720575940619655060",9,1,NA,NA
"537","720575940631539993","720575940619742469",9,1,NA,NA
"538","720575940631539993","720575940620731947",9,1,NA,NA
"539","720575940631539993","720575940624866048",9,1,NA,NA
"540","720575940631539993","720575940629206314",9,1,NA,NA
"541","720575940631539993","720575940629885161",9,1,NA,NA
"542","720575940631539993","720575940630642733",9,1,NA,NA
"543","720575940631539993","720575940642196503",9,1,NA,NA
"544","720575940631539993","720575940650801281",9,1,NA,NA
"545","720575940643267950","720575940589523447",8,1,NA,NA
"546","720575940643267950","720575940598355844",8,1,NA,NA
"547","720575940643267950","720575940598574449",8,1,NA,NA
"548","720575940643267950","720575940605928956",8,1,NA,NA
"549","720575940643267950","720575940606059298",8,1,NA,NA
"550","720575940643267950","720575940606247458",8,1,NA,NA
"551","720575940643267950","720575940610162328",8,1,NA,NA
"552","720575940643267950","720575940610687998",8,1,NA,NA
"553","720575940643267950","720575940610709246",8,1,NA,NA
"554","720575940643267950","720575940611070864",8,1,NA,NA
